	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1
JVpna-769	0.003	0	0.757	0.698	0.86	0.98	0.877	0.929	0.951	0.946	0.977	0.924
JVpna-770	0.013	0	0.003	0.005	0.412	0.427	0.777	0.653	0.93	0.822	0.97	0.869
JVpna-771	0.009	0	0.002	0.003	0.175	0.397	0.568	0.597	0.874	0.745	0.891	0.839
JVpna-772	0.078	0.03	0.597	0.489	0.743	0.665	0.779	0.77	0.862	0.842	0.926	0.866
JVpna-773	0.281	0.115										
JVpna-774	0.018	0	0.034	0.021	0.498	0.673	0.689	0.596	0.858	0.733	1.011	0.9
JVpna-775	0.04	0.01	0.045	0.043	0.529	0.596	0.702	0.659	0.837	0.776	0.901	0.884
JVpna-776	0.028	0	0.033	0.037	0.585	0.784	0.843	0.872	0.907	0.897	1.003	1.005
JVpna-777	0.004	0	0.003	0.002	0.639	0.565	0.787	0.757	0.912	0.931	1.074	0.954
JVpna-778	0.549	0.458										
JVpna-779	0.303	0.367										
JVpna-780	0.074	0	0.654	0.485	0.646	0.709	0.742	0.752	0.755	0.747	0.82	0.839
JVpna-781	0.007	0	0.006	0.001	0.009	-0.002	0.717	0.739	0.955	0.891	1.016	0.965
JVpna-782	0.909	0.91										
JVpna-783	0.851	0.805										
JVpna-784	0.033	0.004	0.679	0.693	0.915	0.838	0.906	0.885	0.953	0.859	0.967	0.989
JVpna-785	0.291	0.457										
JVpna-786	0.892	0.772										
JVpna-787	0.578	0.582										
JVpna-788	0.021	0.059	0.533	0.188	0.932	0.804	0.92	0.837	0.934	0.86	0.988	0.924
JVpna-789	0.041	0	0.008	0.407	0.709	0.573	0.856	0.855	1.02	0.908	1.062	0.916
JVpna-790	0.004	0	0	0	0.235	0.532	0.682	0.702	0.916	0.828	0.956	0.897
JVpna-791	0.469	0.492										
JVpna-792	0.75	0.687										
JVpna-793	0.015	0	0.019	0.015	0.727	0.687	0.957	0.922	1.013	1.004	1.026	1.02
JVpna-794	0.117	0.02	0.024	0.027	0.761	0.681	0.82	0.799	0.864	0.801	0.956	0.912
JVpna-795	0.049	0.013	0.047	0.061	0.769	0.544	0.717	0.751	0.804	0.869	0.896	0.864
JVpna-796	0.009	0	0.371	0.422	0.421	0.404	0.647	0.594	0.774	0.81	0.848	0.844
JVpna-797	0.01	0	0.006	0.01	0.576	0.564	0.639	0.717	0.73	0.744	0.887	0.805
JVpna-798	0.012	0	0.01	0.012	0.585	0.475	0.758	0.804	0.924	0.903	0.962	0.924
JVpna-799	0.024	0	0.641	0.554	0.793	0.773	0.91	0.842	0.791	0.872	0.866	0.922
JVpna-800	0.009	0	0.003	0.004	0.749	0.759	0.859	0.942	0.988	0.999	1.017	1.013
JVpna-801	0.57	0.621										
JVpna-802	0.517	0.488										
JVpna-803	0.008	0	0.044	0.005	0.692	0.681	0.834	0.863	0.873	0.895	0.973	0.962
JVpna-804	0.039	0.002	0.514	0.493	0.726	0.768	0.865	0.868	0.869	0.934	0.961	0.931
JVpna-805	0.391	0.474										
JVpna-806	0.848	0.871										
JVpna-807	0.009	0	0.004	0.003	0.647	0.541	0.836	0.797	0.95	0.856	0.89	0.96
JVpna-808	0.013	0.313	0.703	0.691	0.911	0.885	0.818	0.875	0.926	0.897	0.991	0.936
JVpna-809	0.004	0	0.429	0.449	0.623	0.681	0.968	0.953	1.035	0.966	1.041	0.945
JVpna-810	0.009	0	0.005	0.006	0.355	0.447	0.696	0.616	0.855	0.873	0.941	0.943
JVpna-811	0.006	0	0.004	0.006	0.572	0.559	0.673	0.665	0.931	0.942	1.018	1.039
JVpna-812	0.854	0.75										
JVpna-813	0.815	0.734										
JVpna-227												
JVpna-228												
ctrl	1.03925	1.01025	1.010125	1.01125	1.010125	1.01125	1.010125	1.01125	1.010125	1.01125	1.010125	1.01125
