	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1
JVpna-409	0.009	0.008	0.003	0.001	0.022	0	0.715	0.729	0.893	0.883	0.922	0.908
JVpna-410	0.026	0.022	0.639	0.15	0.796	0.81	0.781	0.817	0.848	0.862	0.852	0.899
JVpna-411	0.031	0.023	0.02	0.015	0.504	0.453	0.652	0.679	0.793	0.878	0.824	0.904
JVpna-412	0.013	0.01	0.005	0.006	0.003	0.002	0.585	0.513	0.789	0.883	0.844	0.871
JVpna-413	0.011	0.012	0.004	0.004	0.02	0.003	0.591	0.476	0.889	0.883	0.933	0.942
JVpna-414	0.824	0.858										
JVpna-415	0.008	0.008	0.003	0.087	0.611	0.463	0.775	0.829	0.896	0.881	0.921	0.94
JVpna-416	0.746	0.814										
JVpna-417	0.622	0.773										
JVpna-418	0.546	0.69										
JVpna-419	0.019	0.02	0.076	0.015	0.655	0.63	0.772	0.771	0.85	0.879	0.9	0.918
JVpna-420	0.771	0.768										
JVpna-421	0.008	0.011	0.274	-0.003	0.769	0.75	0.776	0.882	0.847	0.992	0.884	0.924
JVpna-422	0.007	0.012	0.004	0.001	0.006	-0.001	0.649	0.598	0.998	1.042	0.916	0.964
JVpna-423	0.073	0.075	0.35	0.338	0.693	0.677	0.897	0.942	0.89	0.964	0.919	0.908
JVpna-424	0.777	0.842										
JVpna-425	0.702	0.761										
JVpna-426	0.009	0.011	0.002	0	0.682	0.617	0.713	0.776	0.882	0.931	0.9	0.921
JVpna-427	0.009	0.01	0.002	0.001	0.704	0.71	0.781	0.772	0.839	0.998	0.9	0.97
JVpna-428	0.554	0.55										
JVpna-429	0.097	0.082	0.021	0.016	0.659	0.168	0.863	0.734	1.125	1.055	1.262	1.174
JVpna-430	0.004	0.005	0.004	0	0.944	0.72	1.097	1.002	1.209	1.126	1.184	1.127
JVpna-431	0.005	0.007	0.007	0.001	1.03	0.881	1.164	1.024	1.232	1.214	1.211	1.146
JVpna-432	0.008	0.007	0.006	0	0.012	0.002	0.502	0.432	1.093	0.944	1.19	1.129
JVpna-433	0.009	0.01	0.003	0.002	0.136	0.005	0.944	0.75	1.147	1.109	1.238	1.273
JVpna-434	0.431	0.396										
JVpna-435	0.464	0.592										
JVpna-436	0.069	0.06	0.917	0.704	1.042	0.793	1.132	1.009	1.167	1.11	1.186	1.161
JVpna-437	0.064	0.052	0.746	0.052	0.927	0.755	1.041	0.942	1.136	1.11	1.242	1.138
JVpna-438	0.76	0.767										
JVpna-439	0.664	0.759										
JVpna-440	0.054	0.049	0.022	0.051	1.102	0.981	1.106	1.029	1.161	1.164	1.235	1.046
JVpna-441	0.008	0.008	0.007	0.005	0.885	0.771	1.188	1.013	1.302	1.094	1.274	1.123
JVpna-442	0.057	0.057	0.032	0.027	1.11	0.943	1.193	0.952	1.214	1.13	1.221	1.156
JVpna-443	0.024	0.029	0.021	0.021	0.01	0.012	1	0.915	1.292	1.162	1.308	1.193
JVpna-444	0.795	0.858										
JVpna-445	0.762	0.897										
JVpna-446	0.001	0.017	0.611	0.364	0.926	0.789	1.081	0.925	1.281	1.024	1.275	1.163
JVpna-447	0.642	0.776										
JVpna-448	0.011	0.017	0.004	0.004	0.76	0.674	0.957	0.898	0.975	0.948	0.936	0.938
JVpna-449	0.008	0.01	0.007	0.005	0.001	0.001	0.639	0.663	0.95	0.964	0.923	0.93
JVpna-450	0.033	0.015	0.612	0.653	0.799	0.815	0.857	0.849	0.876	0.851	0.927	0.942
JVpna-451	0.054	0.052	0.024	0.561	0.756	0.7	0.776	0.707	0.834	0.847	0.945	0.911
JVpna-452	0.433	0.624										
JVpna-453	0.011	0.011	0.521	0.008	0.753	0.7	0.803	0.774	0.979	0.879	0.959	0.93
JVpna-454	0.59	0.687										
JVpna-455	0.951	0.962										
JVpna-456	0.044	0.047	0.681	0.724	0.711	0.646	0.79	0.883	0.819	0.858	0.904	0.889
JVpna-457	0.009	0.007	0.006	0.007	0.641	0.613	0.73	0.619	0.816	0.823	1.007	0.968
JVpna-458	0.79	0.739										
JVpna-459	0.569	0.063										
JVpna-460	0.572	0.607										
JVpna-461	0.013	0.009	0.005	0.001	0	-0.003	0.558	0.508	0.774	0.822	0.966	0.964
JVpna-462	0.01	0.011	0.43	0.003	0.618	0.577	0.742	0.752	0.823	0.844	0.928	0.954
JVpna-463	0.957	1.037										
JVpna-464	0.671	0.74										
JVpna-465	0.017	0.021	0.383	0.014	0.595	0.638	0.662	0.706	0.846	0.917	0.911	0.96
JVpna-466	0.67	0.762										
JVpna-467	0.684	0.779										
JVpna-468	0.064	0.039	0.677	0.476	0.81	0.823	0.899	0.913	0.888	0.952	0.997	0.991
JVpna-177			0		0.002		0.001		0.712		0.951	
JVpna-178				0.827		0.926		0.948		0.952		0.984
ctrl	1.0215	1.06925	1.00725	1.246625	1.00725	1.246625	1.00725	1.246625	1.00725	1.246625	1.00725	1.246625
