	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1
JVpna-469	0.688	0.654										
JVpna-470	0.008	0.003	0.001	0.011	0.958	0.881	1.131	1.079	1.247	1.172	1.21	1.221
JVpna-471	0.01	0.01	0.471	0.497	0.872	0.919	1.049	0.99	1.221	1.178	1.173	1.138
JVpna-472	0.847	0.711										
JVpna-473	0.003	0.004	0.001	0.002	0.66	0.621	1.065	0.9	1.214	1.14	1.181	1.157
JVpna-474	0.04	0.04	0.027	0.032	0.703	0.43	1.019	0.894	1.162	1.128	1.223	1.186
JVpna-475	0.002	0.008	0.001	0.002	0.526	0.53	0.984	0.954	1.27	1.139	1.318	1.163
JVpna-476	0.739	0.72										
JVpna-477	0.011	0.011	0.008	0.01	0.908	0.866	1.034	0.97	1.111	1.063	1.208	1.094
JVpna-478	0.341	0.024										
JVpna-479	0.932	0.884										
JVpna-480	0.009	0.01	0.77	0.628	1.165	1.058	1.249	1.124	1.246	1.214	1.309	1.213
JVpna-481	0.006	0.008	0.067	0.008	1.037	0.977	1.25	1.188	1.264	1.228	1.339	1.259
JVpna-482	0.07	0.061	0.858	0.752	1.045	0.935	1.203	1.115	1.259	1.17	1.272	1.168
JVpna-483	0.006	0.008	0.857	0.753	1.071	0.941	1.186	1.128	1.255	1.169	1.271	1.148
JVpna-484	0.026	0.022	0.787	0.721	0.966	0.864	1.067	0.97	1.219	1.141	1.246	1.228
JVpna-485	0.018	0.013	0.853	0.819	0.997	0.939	1.084	1.008	1.26	1.162	1.306	1.141
JVpna-486	0.64	0.765										
JVpna-487	0.418	0.443										
JVpna-488	0.517	0.004										
JVpna-489	0.073	0.067	1.111	1.072	1.167	1.141	1.262	1.211	1.267	1.203	1.281	1.187
JVpna-490	0.712	0.648										
JVpna-491	0.644	0.51										
JVpna-492	0.85	0.752										
JVpna-493	0.711	0.754										
JVpna-494	0.065	0.055	0.664	0.619	0.645	0.69	0.941	0.878	0.919	0.916	0.968	0.959
JVpna-495	0.78	0.854										
JVpna-496	0	0	0	0	0	0	0.649	0.559	0.774	0.852	0.911	0.934
JVpna-497	0	0.002	0.006	0.002	0.427	0.708	0.791	0.735	0.915	0.869	0.971	0.912
JVpna-498	0.003	0.005	0	0.001	0	0	0.665	0.73	0.851	0.84	0.949	0.906
JVpna-499	0.036	0.031	0.02	0.023	0.001	0.022	0.602	0.572	0.761	0.87	0.903	0.889
JVpna-500	0.03	0.02	0.668	0.028	0.747	0.875	0.861	0.849	0.816	0.914	0.979	0.889
JVpna-501	0.028	0.043	0.008	0.009	0.78	0.897	0.906	0.874	0.967	0.99	1.009	1.022
JVpna-502	0.002	0.003	0	0	0.591	0.676	0.821	0.83	0.989	0.951	0.99	1.089
JVpna-503	0.001	0.002	0.62	0.717	0.869	0.756	0.862	0.856	0.943	1.025	0.935	1.025
JVpna-504	0.008	0.011	0.006	0.004	0.003	0.007	0.525	0.65	0.645	0.817	0.909	0.918
JVpna-505	0.043	0.033	0.513	0.541	0.693	0.755	0.706	0.802	0.819	0.907	0.905	0.955
JVpna-506	0.004	0.001	0	0.001	0.744	0.743	0.749	0.813	0.904	0.892	0.931	0.933
JVpna-507	0.006	0.003	0	0	0.822	0.82	0.745	0.899	0.899	0.949	0.951	0.997
JVpna-508	0.82	0.722										
JVpna-509	0.578	0.707										
JVpna-510	0.024	0.035	0.028	0.021	0.017	0.013	0.744	0.721	0.856	0.827	0.929	0.902
JVpna-511	0.032	0.02	0.039	0.026	0.718	0.611	0.711	0.696	0.846	0.808	0.916	0.949
JVpna-512	0.014	0.012	0.013	0.011	0.695	0.718	0.737	0.823	0.853	0.923	0.958	0.858
JVpna-513	0.008	0.01	0.002	0.005	0.508	0.493	0.789	0.765	0.806	0.886	0.928	0.865
JVpna-514	0.581	0.477										
JVpna-515	0.002	0.004	0.583	0.608	0.712	0.725	0.806	0.748	0.804	0.845	0.877	0.876
JVpna-516	0.779	0.725										
JVpna-517	0.512	0.462										
JVpna-518	0.784	0.819										
JVpna-519	0.005	0.008	0	0.002	0.591	0.543	0.773	0.793	0.781	0.807	0.889	0.944
JVpna-520	0.719	0.727										
JVpna-521	0	0.002	0.905	0.959	0.979	0.943	1.007	1.039	0.985	1.028	1.036	1.008
JVpna-522	0.053	0.039	0.634	0.606	0.73	0.753	0.863	0.872	0.926	0.892	0.976	0.956
JVpna-523	0.037	0.037	0.028	0.033	0.01	0.02	0.791	0.747	0.884	0.929	0.934	0.949
JVpna-524	0.025	0.018	0.025	0.019	0.024	0.254	0.752	0.692	0.811	0.867	0.954	0.943
JVpna-525	0.044	0.038	0.715	0.631	0.775	0.781	0.88	0.822	0.92	0.922	0.917	0.97
JVpna-526	0.036	0.032	0.819	0.768	0.819	0.912	0.879	0.923	0.924	0.909	0.959	0.962
JVpna-527	0.008	0.007	0.002	0.004	0.215	0.092	0.836	0.826	0.852	0.989	0.968	0.95
JVpna-528	0.516	0.454										
JVpna-177												
JVpna-178												
ctrl	0.99275	1.0065	1.2945	1.015375	1.2945	1.015375	1.2945	1.015375	1.2945	1.015375	1.2945	1.015375
