	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
JVpna-387	0.013	0.011	0.007	0.009	0.009	0.005	0.603	0.526	0.904	0.853	1.026	1.07
JVpna-388	0.677	0.775										
JVpna-389	0.394	0.722										
JVpna-390	0.013	0.015	0.008	0.008	0.423	0.373	0.538	0.536	0.845	0.81	0.896	0.919
JVpna-391	0.003	0.001	0.564	0.623	0.758	0.729	0.801	0.828	0.858	0.921	0.883	0.909
JVpna-392	0.111	0.078	0.513	0.64	0.837	0.763	0.806	0.911	0.889	0.882	0.905	0.893
JVpna-393	0.051	0.06	0.833	0.775	0.766	0.748	0.816	0.843	0.874	0.846	0.914	0.886
JVpna-394	0.055	0.064	0.155	0.064	0.656	0.676	0.71	0.838	0.913	0.948	0.937	0.941
JVpna-395	0.599	0.051										
JVpna-396	0.452	0.01										
JVpna-397	0.538	0.337										
JVpna-398	0.015	0.015	0.011	0.012	0.392	0.471	0.658	0.735	0.842	0.814	0.911	0.944
JVpna-399	0.08	0.103	0.452	0.449	0.714	0.732	0.9	0.975	1.007	1.018	1.024	1.053
JVpna-400	0.007	0.145	0.75	0.782	0.841	0.872	0.856	0.892	0.964	0.97	1.005	1.016
JVpna-401	0.012	0.013	0.011	0.449	0.818	0.901	0.871	0.895	0.874	1.033	0.92	1.086
JVpna-402	0.016	0.014	0.015	0.036	0.421	0.644	0.66	0.687	0.835	0.892	0.963	0.918
JVpna-403	0.026	0.027	0.009	0.009	0.387	0.236	0.512	0.582	0.841	0.817	0.958	0.941
JVpna-404	0.606	0.668										
JVpna-405	0.007	0.008	0.007	0.004	0.384	0.646	0.717	0.664	0.909	0.87	0.947	1.022
JVpna-406	0.01	0.007	0.195	0.003	0.479	0.578	0.744	0.652	0.87	0.858	0.962	1.02
JVpna-407	0.024	0.025	0.006	0.007	0.023	0.536	0.677	0.651	0.897	0.835	0.975	1.04
JVpna-408	0.012	0.009	0.004	0.006	0.536	0.579	0.953	0.972	1.039	1.076	1.033	1.089
JVpna-177	0.003											
JVpna-178		0.879										
ctrl	0.9965	1.01675	1.241375	1.019375	1.241375	1.019375	1.241375	1.019375	1.241375	1.019375	1.241375	1.019375
