	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1
JVpna-349	0.003	0.006	0.474	0.661	0.799	0.892	1.012	1.062	1.155	1.196	1.194	1.245
JVpna-350	0.075	0.048	0.737	0.68	1.008	1.087	1.074	1.159	1.142	1.12	1.082	1.175
JVpna-351	0.014	0.015	0.009	0.008	0.493	0.395	0.724	0.857	1.059	1.053	1.048	1.175
JVpna-352	0.019	0.016	0.318	0.702	0.696	0.816	0.978	1.064	1.109	1.248	1.144	1.272
JVpna-353	0.012	0.011	0.002	0.003	0.008	0.225	0.649	0.802	0.987	1.08	1.181	1.263
JVpna-354	0.018	0.015	0.015	0.014	0.753	0.771	1.03	1.105	1.079	1.064	1.173	1.239
JVpna-355	0.011	0.016	0.015	0.012	0.664	0.743	0.805	1.069	1.099	1.08	1.233	1.166
JVpna-356	0.572	0.592										
JVpna-357	0.055	0.037	0.028	0.726	0.82	0.87	0.986	1.035	1.149	1.156	1.253	1.242
JVpna-358	0.012	0.018	0.435	0.524	0.856	0.753	1.087	1.108	1.213	1.254	1.231	1.256
JVpna-359	0.012	0.011	0.006	0.004	0.003	0.002	0.002	0.001	0.941	1.004	1.198	1.255
JVpna-360	0.057	0.377	1.018	1.013	1.04	1.081	1.146	1.208	1.181	1.229	1.199	1.24
JVpna-361	0.015	0.01	0.007	0.004	0.005	0.003	0.82	0.881	1.043	1.102	1.22	1.225
JVpna-362	0.05	0.045	0.031	0.023	0.026	0.627	0.83	0.977	1.111	1.179	1.17	1.262
JVpna-363	0.034	0.024	0.412	0.817	0.906	1.021	0.992	1.15	1.176	1.259	1.203	1.272
JVpna-364	0.013	0.016	0.013	0.286	0.808	0.915	0.968	0.94	1.088	1.115	1.161	1.267
JVpna-365	0.608	0.339										
JVpna-366	0.382	0.424										
JVpna-367	0.081	0.117										
JVpna-368	0.009	0.018	0.015	0.011	0.539	0.145	0.751	0.982	1.154	1.197	1.266	1.335
JVpna-369	0.011	0.016	0.015	0.01	0.015	0.008	0.557	0.708	0.845	0.859	0.986	1.024
JVpna-370	0.019	0.019	0.31	0.339	0.679	0.757	0.906	0.827	0.992	0.837	0.903	0.912
JVpna-371	0.015	0.016	0.042	0.011	0.706	0.771	0.911	0.826	0.956	0.9	0.904	0.927
JVpna-372	0.02	0.013	0.465	0.502	0.869	0.829	0.847	0.897	0.926	0.846	0.878	0.902
JVpna-373	0.004	0.007	0.009	0.008	0.005	0.01	0.372	0.466	0.824	0.835	0.91	0.901
JVpna-374	0.79	0.782										
JVpna-375	0.67	0.671										
JVpna-376	0.002	0.004	0.303	0.443	0.689	0.761	0.739	0.831	0.86	0.886	0.974	1.009
JVpna-377	0.009	0.009	0.001	0.002	0.003	0.005	0.542	0.733	0.74	0.859	1.002	0.922
JVpna-378	0.012	0.01	0.004	0.008	0.601	0.683	0.911	0.903	0.942	1.019	1.017	1.022
JVpna-379	0.031	0.027	0.696	0.724	0.879	0.871	0.943	1.035	1.001	0.996	1.042	1.077
JVpna-380	0.038	0.04	0.02	0.017	0.221	0.681	0.775	0.863	0.864	0.911	0.943	0.997
JVpna-381	0.035	0.039	0.046	0.058	0.699	0.79	0.786	0.81	0.874	0.897	0.996	0.975
JVpna-382	0.088	0.07	0.043	0.042	0.43	0.471	0.686	0.779	0.889	0.849	0.97	1.019
JVpna-383	0.054	0.064	0.032	0.029	0.017	0.028	0.486	0.474	0.823	0.866	0.98	1.07
JVpna-384	0.716	0.749										
JVpna-385	0.067	0.032	0.546	0.581	0.804	0.875	0.861	0.85	0.92	0.895	0.927	0.998
JVpna-386	0.006	0.013	0.794	0.788	0.888	0.914	0.862	0.923	0.921	0.917	0.97	1.044
