	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1
JVpna-589	0.028	0.02	0.011	0.02	0.039	0.335	0.576	0.591	0.805	0.795	0.943	0.906
JVpna-590	0.459	0.564										
JVpna-591	0.008	0.013	0.005	0.008	0.484	0.486	0.714	0.687	0.742	0.807	0.917	0.877
JVpna-592	0.015	0.473	0.607	0.526	0.679	0.736	0.806	0.867	0.865	0.854	0.88	0.853
JVpna-593	0.012	0.011	0.005	0.022	0.456	0.594	0.659	0.688	0.784	0.827	0.89	0.849
JVpna-594	0.768	0.848										
JVpna-595	0.855	0.817										
JVpna-596	0.019	0.435	0.507	0.514	0.709	0.731	0.846	0.778	0.776	0.864	0.937	0.843
JVpna-597	0.394	0.618										
JVpna-598	0.005	0.005	0.002	0.113	0.518	0.514	0.637	0.629	0.848	0.875	0.902	0.932
JVpna-599	0.014	0.016	0.268	0.338	0.704	0.667	0.803	0.816	0.978	0.949	1.01	1.018
JVpna-600	0.008	0.007	0.001	0.004	0.001	0.009	0.417	0.546	0.813	0.865	0.948	0.978
JVpna-601	0.722	0.748										
JVpna-602	0.008	0.008	0.004	0.006	0.004	-0.001	0.469	0.464	0.656	0.654	0.996	0.909
JVpna-603	0.024	0.025	0.018	0.029	0.441	0.174	0.571	0.563	0.851	0.864	0.892	0.881
JVpna-604	0.031	0.02	0.006	0.005	0.287	0.248	0.628	0.588	0.786	0.782	0.955	0.961
JVpna-605	0.005	0.005	0	0.006	0.041	0.001	0.519	0.677	0.895	0.823	0.96	0.913
JVpna-606	0.849	0.863										
JVpna-607	0.012	0.007	0.006	0.004	0.005	0.005	0.002	0	0.546	0.659	0.947	0.917
JVpna-608	0.028	0.038	0.29	0.57	0.839	0.844	0.936	0.911	0.982	0.994	1.006	1.035
JVpna-609	0.01	0.011	0.012	0.476238	0.87	0.780238	1.107	1.014238	1.175	1.093238	1.212	1.183238
JVpna-610	0.72	0.545										
JVpna-611	0.501	0.559										
JVpna-612	0.005	0.003	0.004	0	0.061	0.002238	0.011	0.261238	0.818	0.681238	1.211	1.117238
JVpna-613	0.56	0.797										
JVpna-614	0.801	0.868										
JVpna-615	0.574	0.677										
JVpna-616	0.008	0.007	0.006	0.006238	0.576	0.695238	1.113	0.948238	1.187	0.993238	1.2	1.050238
JVpna-617	0.622	0.291										
JVpna-618	0.075	0.042	0.033	0.041238	0.451	0.476238	1.011	0.900238	1.185	1.087238	1.25	1.178238
