	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
JVpna-619	0.001	0.004	0.02	0.016238	0.015	0.021238	0.014	0.019238	1.063	0.890238	1.254	1.047238
JVpna-620	0.006	0.008	0.005	0.006238	0.573	0.508238	0.959	0.593238	1.13	0.963238	1.185	1.116238
JVpna-621	0.012	0.015	0.015	0.014238	0.714	0.625238	1.059	0.922238	1.155	1.044238	1.256	1.185238
JVpna-622	0.683	0.66										
JVpna-623	0.692	0.68										
JVpna-624	0.768	0.692										
JVpna-625	0.963	0.995										
JVpna-626	0.053	0.059	0.348	0.587238	1.132	0.978238	1.251	1.125238	1.294	1.150238	1.271	1.188238
JVpna-627	0.031	0.042	0.032	0.038238	0.109	0.019238	0.939	0.777238	1.246	0.996238	1.236	1.108238
JVpna-628	0.013	0.013	0.021	0.016238	0.787	0.605238	1.015	0.821238	1.131	0.954238	1.273	1.104238
JVpna-629	0.005	0.011	0.013	0.013238	0.531	0.708238	0.976	0.786238	1.159	0.925238	1.228	1.082238
JVpna-630	0.024	0.041	0.892	0.870238	1.139	1.141238	1.315	1.201238	1.34	1.126238	1.249	1.131238
JVpna-631	0.051	0.034	0.998	0.923238	1.202	1.107238	1.244	1.128238	1.216	1.135238	1.251	1.138238
JVpna-632	0.013	0.009	0.023	0.015238	0.825	0.824238	1.162	1.065238	1.27	1.165238	1.352	1.221238
JVpna-633	0.047	0.034	0.04	0.039	0.466	0.649	0.791	0.762	0.859	0.835	0.932	0.889
JVpna-634	0.008	0.008	0.587	0.55	0.833	0.801	0.822	0.809	0.847	0.873	0.89	0.907
JVpna-635	0	0.001	0.002	0	0.478	0.547	0.585	0.584	0.764	0.786	0.865	0.928
JVpna-636	0.017	0.028	0.015	0.013	0.002	0	0.471	0.501	0.85	0.831	0.985	0.918
JVpna-637	0.021	0.014	0.015	0.018	0.004	0.005	0.416	0.678	0.724	0.774	0.995	0.933
JVpna-638	0.007	0.007	0.006	0.007	0.293	0.29	0.533	0.522	0.824	0.842	0.956	0.887
JVpna-639	0.013	0.015	0.011	0.014	0.573	0.375	0.763	0.713	0.987	0.994	1.016	1.023
JVpna-640	0.022	0.009	0.011	0.006	0.006	0.487	0.588	0.483	0.733	0.77	0.975	1.017
JVpna-641	0.014	0.01	0.02	0.013	0.251	0.176	0.585	0.516	0.929	0.767	1.019	0.926
JVpna-642	0.008	0.004	0.004	0	0.013	0	0.403	0.592	0.863	0.784	0.965	0.95
JVpna-643	0.005	0.003	0.003	0	0.003	-0.002	0.537	0.594	0.892	0.733	1.005	0.908
JVpna-644	0.468	0.507										
JVpna-645	0.03	0.015	0.038	0.04	0.635	0.52	0.723	0.724	0.852	0.834	0.981	0.972
JVpna-646	0.007	0.006	0.008	0.014	0.571	0.599	0.871	0.791	0.929	0.914	1.028	0.955
JVpna-647*	0.067	0.054	0.033	0.024	0.569	0.592	0.683	0.753	0.906	0.903	0.916	0.951
JVpna-648	0.002	0.003	0.002	0.005	0.006	0.002	0.797	0.859	0.876	0.883	1.043	1.057
JVpna-227												
JVpna-228												
ctrl	1.0075	1.0045	1.001375	1.244119	1.001375	1.244119	1.001375	1.244119	1.001375	1.244119	1.001375	1.244119
