	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1
JVpna-649	0.008	0.014	0.001	0	0.002	0.005	0.255	0.297	0.665	0.71	0.983	1.007
JVpna-650	0.007	0.007	0.335	0.315	0.542	0.452	0.516	0.579	0.74	0.673	0.904	0.888
JVpna-651	0.008	0.003	0.002	0.001	0.186	0.318	0.506	0.503	0.631	0.596	0.845	0.92
JVpna-652	0.018	0.013	0.009	0.011	0.111	0.667	0.537	0.468	0.87	0.801	0.933	0.933
JVpna-653	0.043	0.04	0.027	0.044	0.605	0.573	0.679	0.665	0.865	0.772	0.954	0.889
JVpna-654	0	0	0.102	0.334	0.612	0.568	0.783	0.697	0.901	0.876	1.026	0.957
JVpna-655	0.006	0.007	0	0.001	0.506	0.482	0.593	0.676	0.808	0.792	0.923	0.943
JVpna-656	1.034	1.062										
JVpna-657	0.994	1.008										
JVpna-658	0.006	0.005	0	0.004	0.001	0.004	0.331	0.004	0.705	0.711	1.018	1.04
JVpna-659	0.054	0.063	0.849	0.818	0.952	0.933	0.984	0.984	0.962	0.967	1.003	0.983
JVpna-660	0.009	0.007	0.007	0.006	0.48	0.527	0.672	0.719	0.906	0.887	0.952	0.908
JVpna-661	0.742	0.712										
JVpna-662	0.014	0.017	0.007	0.006	0.382	0.486	0.658	0.616	0.857	0.801	0.977	0.869
JVpna-663	0.018	0.026	0.007	0.003	0.469	0.538	0.572	0.56	0.926	0.755	0.976	0.896
JVpna-664	0.814	0.732										
JVpna-665	0.018	0.022	0.016	0.011	0.587	0.618	0.699	0.691	0.91	0.862	0.992	0.912
JVpna-666	1.106	1.055										
JVpna-667	0.054	0.076	0.599	0.548	0.702	0.712	0.865	0.778	0.883	0.858	0.919	0.893
JVpna-668	0.008	0.011	0.004	0.006	0.486	0.549	0.722	0.663	0.831	0.83	0.97	0.915
JVpna-669	0.048	0.036	0.021	0.02	0.689	0.716	0.86	0.845	0.972	0.971	1.008	1.052
JVpna-670	0.016	0.029	0.864	0.897	1.063	0.98	1.182	1.132	1.202	1.187	1.246	1.221
JVpna-671	0.034	0.041	0.3	0.046	0.781	0.643	1.04	0.998	1.143	1.04	1.214	1.154
JVpna-672	0.932	0.959										
JVpna-673	0.009	0.011	0.004	0.686	0.824	1.026	1.01	0.989	1.163	1.119	1.211	1.197
JVpna-674	0.011	0.012	0.005	0.007	0.015	0.629	1.066	0.939	1.167	1.12	1.21	1.187
JVpna-675	0.014	0.015	0.019	0.012	0.653	0.573	0.935	0.753	1.161	0.936	1.197	1.135
JVpna-676	0.925	0.92										
JVpna-677	0.047	0.056	0.99	1.019	1.227	1.169	1.208	1.214	1.179	1.094	1.209	1.192
JVpna-678	0.026	0.025	0.018	0.016	0.009	0.018	0.989	0.924	1.038	0.975	1.249	1.228
JVpna-679	0.013	0.024	0.011	0.011	0.011	0.04	0.96	0.846	1.159	1.101	1.282	1.221
JVpna-680	0.021	0.02	0.016	0.017	0.578	0.472	0.896	0.807	1.108	1.08	1.28	1.261
