	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
JVpna-681	1.254	1.215										
JVpna-682	0.413	0.976										
JVpna-683	0.017	0.019	0.015	0.017	0.971	0.903	1.037	0.934	1.171	1.066	1.291	1.192
JVpna-684	0.007	0.011	0.812	0.739	1.2	1.102	1.175	1.123	1.266	1.153	1.246	1.174
JVpna-685	0.01	0.011	0.01	0.05	0.652	0.651	0.883	0.77	1.181	1.024	1.317	1.172
JVpna-686	0.049	0.057	0.811	0.7	1.005	0.857	1.121	0.962	1.234	1.088	1.283	1.195
JVpna-687	0.039	0.038	0.032	0.505	0.914	0.956	1.242	1.05	1.412	1.111	1.404	1.193
JVpna-688	0.943	0.866										
JVpna-689	0.041	0.727	0.962	0.848	1.11	0.932	1.129	1.07	1.195	1.066	1.316	1.17
JVpna-690	0.004	0.822	1.029	0.979	1.162	1.108	1.254	1.179	1.262	1.199	1.32	1.272
JVpna-691	0.003	0.007	0.039	0.067	0.571	0.644	0.679	0.735	0.83	0.892	0.891	0.99
JVpna-692	0.011	0.014	0.011	0.007	0.704	0.697	0.794	0.849	0.875	0.899	0.904	0.89
JVpna-693	0.008	0.006	0.507	0.537	0.653	0.745	0.77	0.824	0.883	0.842	0.89	0.874
JVpna-694	0.643	0.74										
JVpna-695	0.012	0.532	0.681	0.669	0.813	0.809	0.881	0.852	0.867	0.88	0.892	0.854
JVpna-696	0.01	0.009	0.224	0.343	0.753	0.835	0.849	0.898	0.949	0.891	0.99	1.001
JVpna-697	0.537	0.706										
JVpna-698	0.309	0.609										
JVpna-699	0.732	0.814										
JVpna-700	0.049	0.064	0.528	0.484	0.644	0.685	0.798	0.826	0.892	0.867	0.931	0.944
JVpna-701	0.039	0.033	0.704	0.758	0.845	0.79	0.874	0.925	0.916	0.896	0.938	0.975
JVpna-702	0.058	0.79	0.554	0.694	0.677	0.709	0.823	0.817	0.879	0.933	0.958	0.941
JVpna-703	0.982	1.028										
JVpna-704	0.712	0.715										
JVpna-705	0.009	0.012	0.008	0.002	0.394	0	0.517	0.491	0.695	0.735	0.921	0.964
JVpna-706	0.006	0.005	0.001	0	0.395	0.005	0.592	0.626	0.75	0.837	0.916	1.01
JVpna-707	0.043	0.05	0.675	0.633	0.864	0.856	0.873	0.871	0.92	0.91	0.921	0.956
JVpna-708	0.002	0.003	0	0	0.266	0.186	0.614	0.645	0.918	0.903	0.959	0.971
JVpna-177			0		0		0.67		0.796		0.994	
JVpna-178				0.831		0.844		0.87		0.914		0.998
ctrl	1.25825	1.27725	1.03175		1.03175		1.03175		1.03175		1.03175	
