	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1
JVpna-709	0.001	0.001	0.001	0	0.452	0.584	0.749	0.788	0.926	0.945	0.99	1.003
JVpna-710	0.003	0.003	0.017	0.001	0.589	0.679	0.844	0.944	0.95	0.941	0.94	0.888
JVpna-711	0.046	0.03	0.612	0.753	0.719	0.871	0.752	0.791	0.878	0.918	0.912	0.851
JVpna-712	0.237	0.069										
JVpna-713	0.014	0.017	0.017	0.018	0.636	0.676	0.775	0.773	0.963	0.884	0.995	0.836
JVpna-714	0.004	0.006	0.003	0.004	0.518	0.666	0.724	0.792	0.875	0.85	0.863	0.814
JVpna-715	0.007	0.008	0.006	0.004	0.114	0.567	0.523	0.667	0.845	0.887	0.916	0.858
JVpna-716	0.009	0.009	0.392	0.424	0.601	0.69	0.809	0.922	0.98	0.88	0.966	0.915
JVpna-717	0.011	0.011	0.01	0.008	0.19	0.201	0.635	0.705	0.943	0.945	0.972	1.006
JVpna-718	0	0.002	0	0.001	0.678	0.661	0.969	0.932	0.979	0.959	1	1.027
JVpna-719	0.007	0.013	0.004	0.006	0.512	0.666	0.835	0.909	0.906	1.007	0.962	0.939
JVpna-720	0.766	0.763										
JVpna-721	0.018	0.017	0.408	0.544	0.738	0.758	0.96	0.979	0.916	1.008	0.885	0.931
JVpna-722	0.004	0.067	0.699	0.681	0.854	0.907	0.86	1.001	0.951	0.967	0.942	0.895
JVpna-723	0.005	0.008	0.604	0.594	0.823	0.857	0.871	0.927	0.955	1.02	0.949	0.874
JVpna-724	0.275	0.269										
JVpna-725	0.592	0.62										
JVpna-726	0.037	0.452	0.704	0.584	0.835	0.835	0.901	0.965	0.901	1.017	0.964	0.882
JVpna-727	0.005	0.005	0.001	0	0.375	0.485	0.685	0.609	0.967	1.02	0.946	0.908
JVpna-728	0.425	0.506										
JVpna-729	0.002	0.004	0.002	0.003	0.387	0.581	0.774	0.81	0.979	1.043	1.029	1.022
JVpna-730	0.649	0.551										
JVpna-731	0.506	0.458										
JVpna-732	0.815	0.88										
JVpna-733	0.718	0.703										
JVpna-734	0.054	0.033	0.71	0.619	0.89	0.885	0.981	0.957	0.975	0.952	1.006	0.942
JVpna-735	0.009	0.008	0.305	0.01	0.783	0.618	0.921	0.856	1.001	0.884	1.033	0.899
JVpna-736	0.024	0.023	0.39	0.02	0.749	0.604	0.843	0.699	0.996	0.887	0.972	0.89
JVpna-737	0.023	0.022	0.014	0.011	0.717	0.526	0.744	0.66	0.913	0.83	0.976	0.947
JVpna-738	0.041	0.039	0.67	0.552	0.823	0.76	0.932	0.794	0.941	0.899	0.967	0.895
JVpna-739	0.007	0.006	0.575	0.515	0.797	0.763	0.925	0.92	0.955	0.888	0.993	0.962
JVpna-740	0.013	0.01	0.469	0.389	0.681	0.604	0.824	0.637	0.914	0.781	0.977	0.844
JVpna-741	0.012	0.008	0.218	0.034	0.657	0.073	0.818	0.59	0.942	0.912	1.002	1.02
JVpna-742	0.017	0.026	0.535	0.509	0.853	0.789	0.912	0.902	0.955	0.908	1.027	0.975
JVpna-743	0.09	0.086	0.691	0.677	0.798	0.731	0.911	0.833	0.98	0.946	1.023	0.932
JVpna-744	0.019	0.028	0.631	0.453	0.754	0.689	0.794	0.802	0.941	0.885	0.956	0.961
JVpna-745	0.026	0.628	0.718	0.674	0.803	0.828	0.835	0.895	0.918	0.867	0.957	0.997
JVpna-746	0.981	1.002										
JVpna-747	0.004	0.002	0	0.002	0.557	0.337	0.784	0.733	0.939	0.945	0.995	0.998
JVpna-748	0.507	0.563										
JVpna-749	0.507	0.46										
JVpna-750	0.003	0.003	0.425	0.434	0.876	0.842	0.907	0.915	0.918	0.878	0.95	0.93
JVpna-751	0.001	0.002	0.003	0.005	0.847	0.814	0.907	0.89	0.88	0.922	0.994	0.97
JVpna-752	0.341	0.367										
JVpna-753	0.112	0.07	0.746	0.746	0.866	0.87	0.951	0.947	1.009	0.99	1.053	1.012
JVpna-754	0.058	0.093	0.04	0.32	0.759	0.729	0.757	0.793	0.878	0.872	0.903	0.856
JVpna-755	0.014	0.021	0.256	0.026	0.399	0.547	0.521	0.486	0.716	0.731	0.885	0.945
JVpna-756	0.596	0.69										
JVpna-757	0.004	0.005	0.352	0.002	0.717	0.631	0.8	0.796	0.856	0.906	0.921	0.931
JVpna-758	0.006	0.012	0.009	0.013	0.724	0.697	0.819	0.801	0.814	0.913	0.903	0.892
JVpna-759	0.001	0.004	0.003	0.003	0.603	0.585	0.789	0.739	0.944	0.827	0.926	0.91
JVpna-760	0.03	0.028	0.577	0.419	0.754	0.767	0.849	0.856	0.867	0.881	0.899	0.947
JVpna-761	0	0	0.01	0.01	0.679	0.721	0.911	0.945	1.01	1	1.048	1.027
JVpna-762	0.006	0.008	0.003	0.002	0.025	0	0.674	0.532	0.84	0.865	0.992	0.905
JVpna-763	0.036	0.042	0.418	0.375	0.648	0.738	0.844	0.908	0.912	0.968	0.942	0.912
JVpna-764	0.016	0.022	0.024	0.018	0.7	0.741	0.837	0.863	0.923	0.874	0.893	0.932
JVpna-765	0.027	0.017	0.44	0.434	0.712	0.732	0.785	0.802	0.922	0.919	0.895	0.957
JVpna-766	0.007	0.004	0.002	0.003	0.001	0.002	0.591	0.584	0.817	0.87	1.075	1.022
JVpna-767	0.005	0.006	0	0.044	0.564	0.35	0.734	0.799	0.981	0.925	1.037	0.963
JVpna-768	0.018	0.032	0.023	0.021	0.628	0.734	0.944	0.889	1.002	0.988	1.057	1.042
JVpna-177												
JVpna-178												
ctrl	1.0145	0.9885	1.01075	1.0285	1.01075	1.0285	1.01075	1.0285	1.01075	1.0285	1.01075	1.0285
