	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1
JVpna-529	0.007	0.008	0.001	0.001	0.557	0.512	0.623	0.62	0.873	0.863	0.916	0.93
JVpna-530	0.006	0.006	0.458	0.508	0.755	0.715	0.773	0.783	0.855	0.872	0.859	0.881
JVpna-531	0.008	0.006	0.624	0.588	0.815	0.776	0.72	0.763	0.832	0.856	0.89	0.888
JVpna-532	0.008	0.011	0	0.009	0.563	0.652	0.655	0.659	0.812	0.83	0.91	0.902
JVpna-533	0.015	0.01	0.353	0.31	0.45	0.617	0.791	0.78	0.83	0.878	0.82	0.903
JVpna-534	0.053	0.022	0.037	0.023	0.474	0.46	0.749	0.681	0.799	0.833	0.842	0.896
JVpna-535	0.053	0.089	0.69	0.721	0.846	0.915	0.92	0.936	0.96	1.018	0.969	0.996
JVpna-536	0.063	0.069	0.067	0.072	0.599	0.697	0.922	0.961	0.893	0.968	0.944	0.977
JVpna-537	0.038	0.057	0.494	0.515	0.685	0.675	0.837	0.839	0.85	0.871	0.921	0.902
JVpna-538	0.734	0.776										
JVpna-539	0.613	0.581										
JVpna-540	0.029	0.023	0.523	0.529	0.834	0.812	0.843	0.836	0.84	0.88	0.886	0.883
JVpna-541	0.941	0.98										
JVpna-542	0.777	0.7										
JVpna-543	0.448	0.359										
JVpna-544	0.04	0.034	0.021	0.027	0.247	0.524	0.757	0.735	0.796	0.808	0.876	0.925
JVpna-545	0.023	0.023	0.008	0.011	0.714	0.765	0.828	0.773	0.85	0.857	0.887	0.884
JVpna-546	0.751	0.845										
JVpna-547	0.582	0.414										
JVpna-548	0.174	0.052	0.664	0.63	0.873	0.91	0.813	0.921	0.873	0.936	0.941	0.938
JVpna-549	0.162	0.051	0.797	0.85	0.941	0.986	0.985	0.988	0.944	1.024	0.992	1.056
JVpna-550	0.028	0.03	0	0.035	0.784	0.649	0.987	1.015	1.207	1.154	1.176	1.208
JVpna-551	0.056	0.045	0.286	0.084	1.103	0.923	1.167	1.185	1.169	1.156	1.14	1.172
JVpna-552	0.66	0.554										
JVpna-553	0.641	0.457										
JVpna-554	0.063	0.053	0.506	0.456	0.772	0.823	1.14	0.964	1.15	1.112	1.097	1.12
JVpna-555	0.013	0.017	0	0.627	0.823	0.717	1.046	0.993	1.154	1.182	1.146	1.172
JVpna-556	0.04	0.032	0	0.017	0	0.028	0.608	0.756	1.07	0.866	1.101	1.055
JVpna-557	0.052	0.054	0	0.029	0.869	0.854	1.097	1.089	1.075	1.1	1.186	1.093
JVpna-558	0.017	0.013	0	0.02	1.051	1.067	1.203	1.21	1.178	1.151	1.25	1.217
JVpna-559	0.005	0.008	0	0.006	0.791	0.855	1.065	1.029	1.155	1.174	1.26	1.206
JVpna-560	0.007	0.006	0.424	0.189	0.981	1.093	1.09	1.002	1.091	1.19	1.223	1.123
JVpna-561	0.003	0.011	0	0.002	1.054	1.057	1.162	1.117	1.249	1.189	1.232	1.189
JVpna-562	0.873	0.758										
JVpna-563	0.407	0.3										
JVpna-564	0.029	0.032	0	0.017	0.823	0.365	0.936	0.798	1.154	1.062	1.28	1.177
JVpna-565	0.025	0.026	0.541	0.707	0.925	0.876	1.064	0.959	1.163	1.03	1.234	1.123
JVpna-566	0.046	0.033	0.6	0.216	0.753	0.708	0.89	0.892	1.114	1.039	1.191	1.151
JVpna-567	0.012	0.011	0.839	0.76	1.083	1.074	1.199	1.159	1.235	1.208	1.257	1.285
JVpna-568	0.971	0.659										
JVpna-569	0.03	0.041	0.715	0.669	0.794	0.728	0.849	0.832	0.844	0.901	0.922	0.948
JVpna-570	0.671	0.794										
JVpna-571	0.826	0.69										
JVpna-572	0.015	0.023	0.466	0.57	0.61	0.537	0.763	0.759	0.822	0.841	0.904	0.836
JVpna-573	0.025	0.034	0.014	0.014	0.569	0.482	0.638	0.67	0.808	0.858	0.898	0.847
JVpna-574	0.599	0.522										
JVpna-575	0.279	0.669										
JVpna-576	0.009	0.011	0.005	0.006	0.741	0.672	0.759	0.807	0.804	0.843	0.897	0.905
JVpna-577	0.008	0.008	0.002	0.005	0.681	0.685	0.787	0.821	0.885	0.887	0.909	0.906
JVpna-578	0.022	0.033	0.355	0.294	0.761	0.693	0.807	0.788	0.829	0.869	0.883	0.876
JVpna-579	0.745	0.68										
JVpna-580	0.011	0.007	0.311	0.411	0.568	0.544	0.704	0.747	0.903	0.882	1.015	0.977
JVpna-581	0.017	0.017	0.011	0.012	0.01	0.012	0.333	0.012	0.618	0.57	0.9	0.913
JVpna-582	0.706	0.747										
JVpna-583	0.003	0.001	0.008	0.004	0.684	0.562	0.743	0.689	0.9	0.895	0.926	0.928
JVpna-584	0.015	0.01	0.001	0.004	0.207	0.182	0.564	0.607	0.832	0.841	0.987	0.949
JVpna-585	0.006	0.007	0	0.006	0.007	0.001	0.387	0.398	0.611	0.652	0.886	0.933
JVpna-586	0.015	0.013	0	0.003	0.54	0.545	0.819	0.73	0.867	0.912	0.918	0.997
JVpna-587	0.034	0.02	0.012	0.01	0.048	0.075	0.624	0.638	0.84	0.858	0.934	0.92
JVpna-588	0.029	0.04	0.015	0.017	0.019	0.027	0.632	0.576	0.82	0.814	1.028	0.998
JVpna-177			0		0		0		0.724		0.963	
JVpna-178				0.877		0.905		0.936		0.967		0.989
ctrl	0.9905	0.98825	1.0265		1.0265		1.0265		1.0265		1.0265	
