	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
JVpna-769	0.011	0	0.96	0.975	0.919	0.925	0.97	0.939	0.96	0.964	0.951	0.932
JVpna-770	0.557	0	0.881	0.923	0.889	0.966	0.945	0.948	0.917	0.82	0.977	0.955
JVpna-771	0.005	0	0.749	0.614	0.867	0.723	0.808	0.753	0.848	0.796	0.897	0.833
JVpna-772	0.057	0.051	0.607	0.577	0.879	0.722	0.918	0.746	0.889	0.839	0.976	0.809
JVpna-773	0.087	0.023	0.454	0.5	0.787	0.778	0.951	0.827	0.817	0.825	0.888	0.862
JVpna-774	0.027	0.721										
JVpna-775	0.032	0	0.751	0.677	0.843	0.863	0.924	0.901	0.905	0.866	0.888	0.876
JVpna-776	0.036	0	0.701	0.659	0.843	0.825	0.847	0.889	0.922	0.905	0.956	0.9
JVpna-777	0.021	0	0.785	0.773	0.896	0.959	0.922	0.92	0.907	1.002	0.917	0.943
JVpna-778	0.045	0.005	0.914	0.906	0.926	0.984	0.969	0.937	0.995	1.03	1.023	0.976
JVpna-779	0.822	0.747										
JVpna-780	0.933	0.923										
JVpna-781	0.011	0.163	0.745	0.705	0.8	0.824	0.861	0.821	0.803	0.805	0.904	0.848
JVpna-782	0.83	0.685										
JVpna-783	1.017	0.946										
JVpna-784	0.028	0	0.867	0.924	0.848	0.819	0.878	0.9	0.894	0.756	0.827	0.784
JVpna-785	0.982	0.875										
JVpna-786	0.04	0.021	0.871	0.925	0.855	0.749	0.87	0.794	0.931	0.756	0.851	0.82
JVpna-787	0.842	0.694										
JVpna-788	0.032	0	0.773	0.911	0.858	0.757	0.85	0.768	0.765	0.78	0.944	0.872
JVpna-789	0.029	0.015	0.863	0.892	0.879	0.76	0.743	0.804	0.743	0.826	0.9	0.892
JVpna-790	0.616	0.621										
JVpna-791	0.485	0.358										
JVpna-792	0.586	0.57										
JVpna-793	0.771	0.837										
JVpna-794	0.042	0.026	0.654	0.627	0.945	0.774	0.824	0.851	0.855	0.804	0.869	0.844
JVpna-795	0.047	0.019	0.034	0.041	0.87	0.901	0.928	0.935	0.941	0.925	0.952	0.946
JVpna-796	0.219	0.269										
JVpna-797	0.572	0.545										
JVpna-798	0.013	0	0.932	0.937	0.931	0.854	0.917	0.88	0.957	0.876	1.036	0.974
JVpna-799	0.02	0	0.926	0.929	0.92	0.966	0.881	0.91	0.947	0.835	0.912	0.909
JVpna-800	0.86	0.746										
JVpna-801	0.844	0.785										
JVpna-802	0.911	0.915										
JVpna-803	0.826	0.774										
JVpna-804	0.052	0.028	0.886	0.916	0.963	0.923	0.832	0.963	0.887	0.883	0.979	0.949
JVpna-805	0.591	0.63										
JVpna-806	0.808	0.806										
JVpna-807	0.78	0.745										
JVpna-808	0.018	0	0.848	0.908	0.891	0.911	0.961	0.992	0.905	0.888	0.991	0.86
JVpna-809	0.766	0.728										
JVpna-810	0.02	0	0.848	0.852	0.957	0.958	0.999	0.94	0.864	0.913	0.911	0.924
JVpna-811	0.015	0	0.484	0.325	0.979	0.922	0.923	1.014	0.889	0.867	0.984	0.966
JVpna-812	0.404	0	1.006	1.01	1.03	1.006	0.991	1.009	1.042	0.998	1.051	1.021
JVpna-813	1.032	1.014										
JVpna-227			0		0		0.895		1.001		1.043	
JVpna-228				1.091		1.059		1.05		1.046		1.058
ctrl	0.9725	1.06525	0.934	0.961875	0.934	0.961875	0.934	0.961875	0.934	0.961875	0.934	0.961875
