	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
JVpna-709	0.069	0.22	0.621	0.643	0.78	0.761	0.891	0.765	0.812	0.803	0.888	0.794
JVpna-710	0.806	0.864										
JVpna-711	0.842	0.887										
JVpna-712	0.015	0.015	0.828	0.919	0.778	0.786	0.744	0.795	0.802	0.805	0.814	0.876
JVpna-713	0.023	0.426	0.869	0.857	0.795	0.86	0.761	0.778	0.765	0.773	0.852	0.821
JVpna-714	0.115	0.463	0.775	0.774	0.843	0.828	0.948	0.789	0.967	0.897	0.87	0.83
JVpna-715	0.461	0.553										
JVpna-716	0.01	0.011	0.735	0.841	0.865	0.903	0.793	0.829	0.884	0.843	0.833	0.887
JVpna-717	0.341	0.4										
JVpna-718	0.811	0.93										
JVpna-719	0.183	0.217										
JVpna-720	0.743	0.77										
JVpna-721	0.018	0.017	0.955	0.967	0.906	0.944	0.942	0.965	0.935	0.944	0.968	0.954
JVpna-722	0.785	0.824										
JVpna-723	0.797	0.828										
JVpna-724	1.085	1.093										
JVpna-725	0.875	0.857										
JVpna-726	0.036	0.032	0.893	0.991	0.905	0.943	0.896	0.988	0.94	0.968	0.988	1.006
JVpna-727	0.274	0.358										
JVpna-728	0.783	0.871										
JVpna-729	0.442	0.576										
JVpna-730	0.852	0.838										
JVpna-731	0.032	0.038	0.819	0.833	0.834	0.707	0.88	0.81	0.874	0.84	0.848	0.844
JVpna-732	1.038	0.976										
JVpna-733	0.876	0.877										
JVpna-734	0.017	0.02	0.874	0.875	0.853	0.866	0.886	0.823	0.89	0.9	0.858	0.828
JVpna-735	0.01	0.021	0.897	1.011	0.84	0.87	0.844	0.873	0.841	0.89	0.937	0.843
JVpna-736	0.705	0.721										
JVpna-737	0.405	0.254										
JVpna-738	0.012	0.03	0.814	0.884	0.868	0.862	0.893	0.874	0.881	0.924	0.915	1.014
JVpna-739	0.888	0.961										
JVpna-740	0.63	0.741										
JVpna-741	0.03	0.035	0.64	0.722	0.798	0.839	0.827	0.873	0.833	0.928	0.908	1.024
JVpna-742	0.027	0.035	0.014	0.01	0.932	0.831	0.781	0.792	0.883	0.937	0.914	1.015
JVpna-743	0.061	0.064	0.812	0.091	1.003	0.971	0.967	0.973	0.964	1.02	1.046	1.027
JVpna-744	1.059	1.042										
JVpna-745	1.03	1.028										
JVpna-746	0.985	1										
JVpna-747	0.782	0.835										
JVpna-748	0.92	1.023										
JVpna-749	0.999	1.07										
JVpna-750	0.678	0.693										
JVpna-751	0.752	0.748										
JVpna-752	0.519	0.804										
JVpna-753	0.05	0.053	0.8	0.835	0.856	0.826	0.866	0.845	0.882	0.891	0.876	0.783
JVpna-754	0.762	0.713										
JVpna-755	0.326	0.4										
JVpna-756	0.904	1.002										
JVpna-757	0.853	0.837										
JVpna-758	0.617	0.687										
JVpna-759	0.422	0.441										
JVpna-760	0.011	0.399	0.862	0.902	0.793	0.793	0.841	0.772	0.812	0.784	0.859	0.775
JVpna-761	1.076	1.054										
JVpna-762	0.48	0.331										
JVpna-763	0.465	0.048	0.782	0.747	0.769	0.775	0.894	0.784	0.784	0.86	0.865	0.741
JVpna-764	0.019	0.014	0.855	0.931	0.829	0.87	0.866	0.777	0.865	0.819	0.92	0.829
JVpna-765	0.027	0.034	0.857	0.922	0.843	0.814	0.706	0.782	0.753	0.802	0.913	0.828
JVpna-766	0.008	0.005	0.319	0.301	0.817	0.778	0.854	0.834	0.873	0.875	0.842	0.855
JVpna-767	0.798	0.83										
JVpna-768	0.03	0.03	0.577	0.618	0.804	0.698	0.84	0.791	0.895	0.85	0.798	0.874
JVpna-227												
JVpna-228												
ctrl	0.97225	0.9675	0.91475		0.91475		0.91475		0.91475		0.91475	
