	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
JVpna-649	0.003	0.411	0.423	0.518	0.721	0.829	0.909	0.94	0.93	0.925	0.932	0.962
JVpna-650	0.657	0.66										
JVpna-651	0.191	0.55										
JVpna-652	0.016	0.012	0.767	0.834	0.835	0.781	0.819	0.777	0.821	0.778	0.843	0.73
JVpna-653	0.034	0.046	0.653	0.726	0.784	0.701	0.768	0.768	0.748	0.8	0.764	0.802
JVpna-654	0.837	0.754										
JVpna-655	0.781	0.748										
JVpna-656	0.877	0.866										
JVpna-657	1.066	1.058										
JVpna-658	0.007	0.583										
JVpna-659	0.051	0.047	0.804	0.832	0.717	0.792	0.793	0.77	0.781	0.807	0.813	0.793
JVpna-660	0.012	0.447	0.809	0.762	0.747	0.839	0.921	0.829	0.798	0.78	0.829	0.787
JVpna-661	0.946	1.174										
JVpna-662	0.024	0.021	0.801	0.827	0.875	0.914	0.8	0.878	0.823	0.862	0.929	0.832
JVpna-663	0.017	0.015	0.44	0.474	0.889	0.88	0.843	0.868	0.785	0.851	0.905	0.886
JVpna-664	0.015	0.012	0.938	0.958	0.921	0.93	0.935	0.957	0.938	0.922	0.961	0.948
JVpna-665	0.015	0.011	0.929	0.918	0.871	1.008	0.923	0.974	0.933	1.005	0.95	1.034
JVpna-666	0.091	0.045	0.897	0.916	0.885	0.723	0.824	0.716	0.866	0.805	0.886	0.873
JVpna-667	0.055	0.068	0.896	0.831	0.864	0.785	0.879	0.872	0.768	0.865	0.853	0.803
JVpna-668	0.017	0.029	0.535	0.528	0.818	0.802	0.837	0.8	0.783	0.804	0.825	0.835
JVpna-669	0.022	0.048	0.569	0.677	0.935	0.782	0.915	0.906	0.937	0.813	0.941	0.899
JVpna-670	0.011	0.009	0.872	0.872	0.949	0.887	0.889	0.865	0.841	0.874	0.862	0.928
JVpna-671	0.047	0.041	0.743	0.619	0.886	0.803	0.901	0.842	0.852	0.898	0.967	0.907
JVpna-672	0.974	1.067										
JVpna-673	0.72	0.845										
JVpna-674	0.79	0.903										
JVpna-675	0.009	0.009	0.861	0.901	0.969	0.965	0.986	0.984	1.023	1.031	1.051	1.056
JVpna-676	0.335	0.495										
JVpna-677	0.05	0.155	0.911	0.899	0.832	0.815	0.852	0.908	0.891	0.816	0.905	0.864
JVpna-678	0.02	0.013	0.362	0.396	0.796	0.751	0.697	0.756	0.804	0.694	0.827	0.756
JVpna-679	0.014	0.008	0.582	0.564	0.83	0.724	0.752	0.761	0.866	0.862	0.802	0.793
JVpna-680	0.028	0.017	0.875	0.852	0.934	0.856	0.773	0.834	0.803	0.807	0.861	0.773
JVpna-681	0.929	0.971										
JVpna-682	0.962	1.005										
JVpna-683	0.017	0.135	0.896	0.86	0.869	0.788	0.837	0.867	0.8	0.788	0.798	0.862
JVpna-684	0.015	0.007	0.951	0.976	0.895	0.812	0.808	0.836	0.856	0.798	0.916	0.841
JVpna-685	0.011	0.012	0.858	0.743	0.913	0.763	0.75	0.817	0.822	0.844	0.848	0.845
JVpna-686	0.041	0.062	0.772	0.83	0.903	0.944	0.911	0.921	0.924	0.925	0.935	0.935
JVpna-687	0.032	0.04	0.773	0.678	0.934	0.929	0.946	0.977	0.966	0.897	0.964	0.983
JVpna-688	0.795	0.743										
JVpna-689	0.631	0.043										
JVpna-690	0.966	0.908										
JVpna-691	0.688	0.663										
JVpna-692	0.014	0.01	0.819	0.958	0.913	0.759	0.89	0.784	0.907	0.727	0.946	0.791
JVpna-693	0.92	0.961										
JVpna-694	0.972	1.038										
JVpna-695	1.019	1.096										
JVpna-696	0.032	0.007	0.467	0.718	0.81	0.727	0.815	0.825	0.824	0.763	0.959	0.819
JVpna-697	0.021	0.044	0.853	0.82	0.868	0.764	0.905	0.815	0.84	0.809	0.895	0.815
JVpna-698	0.763	0.739										
JVpna-699	0.918	0.981										
JVpna-700	0.031	0.048	0.761	0.846	0.824	0.804	0.812	0.807	0.807	0.887	0.89	0.831
JVpna-701	0.058	0.051	0.653	0.696	0.782	0.797	0.817	0.864	0.779	0.93	0.994	0.862
JVpna-702	0.049	0.043	0.797	0.768	0.829	0.903	0.791	0.908	0.82	0.809	0.991	0.864
JVpna-703	0.032	0.046	0.91	0.95	0.964	0.98	0.98	0.968	0.975	0.949	0.991	1.015
JVpna-704	1.131	1.046										
JVpna-705	0.014	0.384	0.626	0.745	0.967	0.912	0.847	0.906	0.877	0.895	0.917	0.952
JVpna-706	0.007	0.617	0.764	0.807	0.91	0.893	0.866	0.882	0.866	0.798	0.887	0.941
JVpna-707	0.848	0.781										
JVpna-708	0.58	0.275										
JVpna-227	0.002											
JVpna-228	1.012											
ctrl	0.97225	1.04325	0.987625	0.934	0.987625	0.934	0.987625	0.934	0.987625	0.934	0.987625	0.934
