	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
JVpna-229	0.005	0.005	0.759	0.772	0.952	0.924	0.948	0.887	0.929	0.83	0.911	0.868
JVpna-230	0.021	0.011	0.548	0.572	0.867	0.838	0.903	0.832	0.859	0.923	0.898	0.898
JVpna-231	0.227	0.049	0.785	0.703	0.812	0.859	0.905	0.819	0.876	0.825	0.91	0.9
JVpna-232	0.594	0.059	0.859	0.836	0.813	0.889	0.857	0.853	0.878	0.79	0.765	0.779
JVpna-233	0.04	0.021	0.55	0.629	0.867	0.806	0.918	0.823	0.957	0.814	0.825	0.835
JVpna-234	0.085	0.064	0.737	0.71	0.813	0.894	0.908	0.848	0.956	0.796	0.868	0.917
JVpna-235	0.012	0.011	0.519	0.109	0.794	0.799	0.942	0.791	0.976	0.789	0.964	0.849
JVpna-236	0.508	0.597										
JVpna-237	0.015	0.003	0.003	0.002	0.565	0.263	0.772	0.753	0.908	0.783	0.911	0.849
JVpna-238	0.795	1.084										
JVpna-239	0.036	0.013	0.742	0.825	1.003	1.013	0.938	0.915	0.929	0.741	0.95	0.875
JVpna-240	0.971	1.221										
JVpna-241	0.779	0.993										
JVpna-242	0.468	0.616										
JVpna-243	0.87	1.073										
JVpna-244	0.642	0.87										
JVpna-245	0.723	0.827										
JVpna-246	1.124	1.367										
JVpna-247	0.043	0.451	0.801	0.77	0.847	0.731	0.909	0.973	0.922	0.813	0.885	0.71
JVpna-248	0.035	0.03	0.083	0.568	0.883	0.837	0.916	0.937	0.906	0.732	0.923	0.931
JVpna-249	0.074	0.05	0.746	0.738	0.879	0.829	0.857	0.847	0.928	0.985	0.855	0.932
JVpna-250	0.44	0.276										
JVpna-251	0.064	0.445	0.868	0.803	0.843	0.824	0.906	0.965	0.839	0.897	0.887	0.886
JVpna-252	0.803	0.035	0.963	1.004	0.958	0.852	0.925	1.035	0.977	0.954	0.873	0.932
JVpna-253	0.065	0.084	0.93	0.879	0.944	0.886	0.815	0.955	0.834	0.831	0.908	0.888
JVpna-254	0.654	1.036										
JVpna-255	0.649	0.802										
JVpna-256	0.073	0.058	0.798	0.678	0.832	0.901	0.856	0.976	0.849	0.875	0.877	0.871
JVpna-257	0.061	0.042	0.565	0.559	0.781	0.838	0.882	0.899	0.898	0.828	0.915	0.914
JVpna-258	0.856	1.115										
JVpna-259	0.86	1.207										
JVpna-260	1.037	1.232										
JVpna-261	0.998	1.193										
JVpna-262	0.023	0.895										
JVpna-263	0.891	1.111										
JVpna-264	0.278	0.745										
JVpna-265	0.951	1.04										
JVpna-266	0.074	0.055	0.956	0.857	0.902	0.866	0.939	1.003	0.792	0.934	0.802	0.883
JVpna-267	0.972	1.073										
JVpna-268	1.135	1.356										
JVpna-269	0.877	1.042										
JVpna-270	1.092	1.221										
JVpna-271	0.967	1.27										
JVpna-272	0.281	0.282										
JVpna-273	0.046	0.695										
JVpna-274	0.02	1.229										
JVpna-275	0.03	0.029	0.595	0.626	1.039	0.902	0.928	0.751	0.951	0.783	0.979	0.832
JVpna-276	0.616	0.632										
JVpna-277	0.577	0.904										
JVpna-278	0.575	1.125										
JVpna-279	0.655	1.056										
JVpna-280	1.029	0.111	0.897	0.91	0.876	0.846	0.886	0.764	0.995	0.807	0.949	0.798
JVpna-281	1.014	1.39										
JVpna-282	0.09	0.075	0.918	0.858	0.933	0.913	0.812	0.723	0.991	0.838	0.987	0.867
JVpna-283	0.085	0.097	0.678	0.629	0.963	0.839	0.874	0.854	0.952	0.851	0.992	0.922
JVpna-284	0.015	0.013	0.882	0.976	0.915	0.859	0.924	0.99	0.894	0.908	1.011	0.965
JVpna-285	0.743	0.764										
JVpna-286	0.032	0.022	0.895	0.928	0.88	0.854	0.937	1.009	0.902	1.017	1.014	0.909
JVpna-287	0.021	0.011	0.774	0.888	0.968	1.039	1.002	1.044	1	1.08	1.097	1.023
JVpna-288	0.932	1.264										
JVpna-227	0.009	0.003	0.003	0	0.003	0	0.511	0.686	0.95	0.95	1.037	1.016
JVpna-228	1.055	1.311	1.087	1.068	1.084	0.894	1.049	0.977	1.032	0.996	1.063	0.946
ctrl	1.0005	1.194	0.96975	0.968875	0.96975	0.968875	0.96975	0.968875	0.96975	0.968875	0.96975	0.968875
