	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
JVpna-589	0.015	0.024	0.565	0.612	0.838	0.863	0.907	0.933	0.92	0.979	0.972	0.984
JVpna-590	0.755	0.756										
JVpna-591	0.575	0.327										
JVpna-592	0.354	0.295										
JVpna-593	0.013	0.014	0.924	0.892	0.899	0.869	0.833	0.872	0.855	0.983	0.903	0.872
JVpna-594	0.716	0.031										
JVpna-595	0.649	0.659										
JVpna-596	0.631	0.265										
JVpna-597	0.644	0.411										
JVpna-598	0.771	0.826										
JVpna-599	0.703	0.701										
JVpna-600	0.376	0.325										
JVpna-601	0.882	0.778										
JVpna-602	0.007	0.009	0.289	0.348	0.594	0.6	0.637	0.72	0.796	0.869	0.892	0.838
JVpna-603	0.026	0.027	0.508	0.544	0.713	0.688	0.755	0.784	0.789	0.862	0.898	0.86
JVpna-604	0.032	0.036	0.276	0.379	0.834	0.829	0.813	0.725	0.846	0.885	0.89	0.902
JVpna-605	0.322	0.32										
JVpna-606	1.035	1.106										
JVpna-607	0.223	0.605										
JVpna-608	0.032	0.05	0.937	0.917	0.802	0.89	0.855	0.893	0.859	0.932	0.967	0.843
JVpna-609	0.011	0.017	0.965	0.957	0.854	0.899	0.752	0.89	0.82	0.953	0.906	0.906
JVpna-610	0.023	0.03	0.926	0.863	0.923	0.869	0.932	0.915	0.939	0.929	0.978	0.956
JVpna-611	0.431	0.035	0.961	0.992	0.966	0.956	1.006	1.011	0.989	0.962	1.007	1.008
JVpna-612	0.007	0.003	0.693	0.22	0.569	0.753	0.962	0.881	0.97	0.868	0.953	0.887
JVpna-613	0.934	0.854										
JVpna-614	0.476	0.309										
JVpna-615	0.889	0.884										
JVpna-616	0.029	0.015	0.719	0.828	0.794	0.85	0.967	0.935	0.992	0.877	0.847	0.863
JVpna-617	0.604	0.394										
JVpna-618	0.055	0.057	0.555	0.583	0.803	0.751	0.953	0.999	0.876	0.835	0.866	0.838
JVpna-619	0.004	0.002	0.709	0.146	0.488	0.402	0.878	0.682	0.948	0.888	0.876	0.886
JVpna-620	0.216	0.27										
JVpna-621	0.093	0.014	0.751	0.681	0.846	0.775	0.953	0.882	0.971	0.875	0.834	0.926
JVpna-622	0.996	1.078										
JVpna-623	1.094	1.083										
JVpna-624	0.344	0.223										
JVpna-625	0.025	0.033	0.844	0.912	0.911	0.811	0.885	0.953	0.969	0.899	1.013	0.89
JVpna-626	0.059	0.065	0.909	0.855	0.963	0.952	1.016	0.939	0.983	0.99	1.052	1.007
JVpna-627	0.034	0.043	0.034	0.677	0.758	0.781	0.842	0.799	0.88	0.872	0.947	0.906
JVpna-628	0.015	0.016	0.008	0.165	0.654	0.573	0.704	0.885	0.821	0.823	0.9	0.87
JVpna-629	0.014	0.015	0.21	0.387	0.598	0.57	0.689	0.733	0.809	0.798	0.839	0.885
JVpna-630	0.032	0.022	0.779	0.793	0.786	0.828	0.759	0.904	0.795	0.873	0.775	0.904
JVpna-631	0.023	0.053	0.784	0.041	0.826	0.859	0.791	0.734	0.835	0.867	0.815	0.928
JVpna-632	0.021	0.018	0.693	0.683	0.909	0.862	0.741	0.854	0.894	0.83	0.834	0.907
JVpna-633	0.014	0.025	0.035	0.02	0.927	0.866	0.937	0.958	0.974	0.954	0.976	0.962
JVpna-634	0.814	0.885										
JVpna-635	0.238	0.067	0.776	0.714	0.868	0.893	0.925	0.911	0.952	0.986	0.922	1.112
JVpna-636	0.016	0.02	0.02	0.522	0.817	0.902	0.927	0.871	0.871	0.861	0.895	1.08
JVpna-637	0.027	0.025	0.446	0.405	0.795	0.694	0.936	0.866	0.925	0.884	0.916	1.079
JVpna-638	0.015	0.012	0.734	0.894	0.91	0.862	0.818	0.876	0.935	0.864	0.971	0.976
JVpna-639	0.025	0.019	0.863	0.904	0.933	0.969	0.927	0.992	0.886	0.907	0.976	0.971
JVpna-640	0.011	0.007	0.396	0.551	0.88	0.733	0.803	0.829	0.908	0.828	0.897	1.045
JVpna-641	0.249	0.057	0.887	0.877	1.001	0.952	0.978	0.986	1.032	1.021	1.044	1.048
JVpna-642	0.008	0.004	0.918	0.81	1.135	1.112	1.168	1.099	1.127	1.063	1.149	1.203
JVpna-643	0.007	0.319	0.909	0.865	1.097	1.162	1.054	1.139	1.03	1.062	1.101	1.118
JVpna-644	0.687	0.612										
JVpna-645	0.03	0.029	1.049	1.044	1.082	1.082	1.032	1.011	1.013	1.027	1.073	1.017
JVpna-646	0.019	0.014	0.937	0.909	1.101	0.984	1.013	1.025	0.976	1.077	0.962	1.111
JVpna-647	0.029	0.017	0.868	0.706	1.098	1.179	1.05	1.16	1.02	1.015	1.16	1.12
JVpna-648	0.004	0.016	0.808	0.896	1.187	1.129	1.197	1.244	1.117	1.153	1.127	1.25
JVpna-227	0		0.001		0.395		0.754		0.977		0.994	
JVpna-228	1.065			0.947		0.959		0.943		0.993		0.898
ctrl	0.959	0.9995	0.962875	1.277	0.962875	1.277	0.962875	1.277	0.962875	1.277	0.962875	1.277
