	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
JVpna-469	0.011	0.012	0.819	0.696	0.791	0.81	0.786	0.734	0.897	0.734	0.825	0.815
JVpna-470	0.311	0.278										
JVpna-471	0.662	0.603										
JVpna-472	1.007	0.955										
JVpna-473	0.421	0.467										
JVpna-474	0.051	0.014	0.579	0.556	0.91	0.855	0.825	0.873	0.937	0.838	0.825	0.791
JVpna-475	0.008	0	0.713	0.725	0.873	0.936	0.863	0.815	0.906	0.849	0.833	0.845
JVpna-476	0.956	1.048										
JVpna-477	0.298	0.456										
JVpna-478	0.869	0.884										
JVpna-479	0.08	0.053	0.819	0.897	0.716	0.856	0.821	0.738	0.911	0.853	0.862	0.891
JVpna-480	0.795	0.754										
JVpna-481	0.552	0.461										
JVpna-482	0.06	0.034	0.822	0.748	0.787	0.841	0.805	0.792	0.884	0.876	0.92	0.885
JVpna-483	0.925	0.878										
JVpna-484	0.649	0.623										
JVpna-485	0.682	0.599										
JVpna-486	0.856	0.673										
JVpna-487	0.834	0.752										
JVpna-488	1.032	0.915										
JVpna-489	0.051	0.025	0.886	0.808	0.798	0.894	0.816	0.833	0.909	0.864	0.878	0.808
JVpna-490	0.979	0.961										
JVpna-491	0.966	0.978										
JVpna-492	0.952	0.91										
JVpna-493	1.026	0.831										
JVpna-494	0.08	0.017	0.803	0.884	0.925	0.893	0.937	0.893	0.91	0.921	0.943	0.94
JVpna-495	0.121	0.497										
JVpna-496	0	0	0.686	0.193	0.66	0.567	0.902	0.801	0.89	0.793	0.984	0.875
JVpna-497	0.893	0.76										
JVpna-498	0.006	0	0.624	0.785	0.807	0.786	0.938	0.893	0.906	0.896	0.866	0.782
JVpna-499	0.035	0.014	0.566	0.149	0.735	0.619	0.922	0.888	0.921	0.837	0.885	0.803
JVpna-500	0.032	0.01	0.832	0.817	0.948	0.941	0.922	0.918	0.96	0.874	0.937	0.949
JVpna-501	0.022	0.018	0.673	0.001	0.72	0.821	0.958	0.785	0.938	0.864	0.913	0.858
JVpna-502	0.513	0.445										
JVpna-503	0.896	0.814										
JVpna-504	0.015	0	0.012	0.045	0.836	0.889	0.957	0.88	0.934	0.87	0.891	0.912
JVpna-505	0.042	0.012	0.931	0.907	0.937	0.923	0.923	0.967	0.965	0.985	1.021	0.991
JVpna-506	0.668	0.645										
JVpna-507	0.698	0.694										
JVpna-508	1.029	0.966										
JVpna-509	0.032	0.014	0.725	0.772	0.862	0.81	0.834	0.699	0.792	0.758	0.836	0.834
JVpna-510	0.082	0.012	0.031	0.029	0.797	0.772	0.821	0.919	0.797	0.79	0.849	0.831
JVpna-511	0.03	0.007	0.661	0.676	0.884	0.851	0.835	0.802	0.882	0.852	0.888	0.88
JVpna-512	0.02	0	0.78	0.742	0.854	0.758	0.806	0.811	0.785	0.872	0.837	0.854
JVpna-513	0.007	0	0.742	0.688	0.831	0.729	0.814	0.826	0.798	0.808	0.826	0.879
JVpna-514	0.561	0.634										
JVpna-515	0.904	0.907										
JVpna-516	0.996	0.933										
JVpna-517	0.838	0.781										
JVpna-518	1.067	0.909										
JVpna-519	0.883	0.876										
JVpna-520	0.967	0.957										
JVpna-521	1.033	0.954										
JVpna-522	0.024	0	0.712	0.725	0.859	0.756	0.883	0.817	0.835	0.876	0.817	0.854
JVpna-523	0.028	0.004	0.028	0.026	0.755	0.667	0.851	0.78	0.941	0.72	0.924	0.796
JVpna-524	0.032	0	0.025	0.022	0.816	0.721	0.92	0.813	0.881	0.767	0.855	0.784
JVpna-525	0.034	0.002	0.767	0.809	0.868	0.844	0.916	0.822	0.873	0.792	0.836	0.75
JVpna-526	0.033	0.001	0.808	0.838	0.888	0.758	0.938	0.808	0.972	0.748	0.906	0.809
JVpna-527	0.008	0	0.692	0.711	0.822	0.893	0.841	0.904	0.852	0.906	0.923	0.829
JVpna-528	0.154	0	0.944	0.873	0.869	0.902	0.885	0.887	0.877	0.904	0.923	0.959
JVpna-227	0		0.002		0.001		0.829		0.987		1.021	
JVpna-228		1.078		1.046		1		0.983		0.948		0.984
ctrl	0.978	0.93125	0.97975	0.964	0.97975	0.964	0.97975	0.964	0.97975	0.964	0.97975	0.964
