	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
JVpna-529	0.556	0.536										
JVpna-530	0.844	0.838										
JVpna-531	0.91	0.843										
JVpna-532	0.317	0.508										
JVpna-533	0.933	0.964										
JVpna-534	0.072	0.093	0.011	0.028	0.855	0.931	0.89	0.875	0.794	0.836	0.831	0.908
JVpna-535	0.028	0.026	0.599	0.495	0.807	0.849	0.806	0.733	0.791	0.801	0.745	0.781
JVpna-536	0.078	0.08	0.07	0.537	0.768	0.889	0.753	0.791	0.806	0.806	0.855	0.82
JVpna-537	0.036	0.04	0.552	0.039	0.767	0.829	0.736	0.741	0.764	0.757	0.773	0.74
JVpna-538	0.521	0.875										
JVpna-539	0.723	0.823										
JVpna-540	0.027	0.032	0.019	0.01	0.734	0.805	0.795	0.884	0.786	0.851	0.801	0.859
JVpna-541	0.411	0.548										
JVpna-542	0.921	0.839										
JVpna-543	0.924	0.784										
JVpna-544	0.035	0.039	0.841	0.747	0.867	0.828	0.871	0.82	0.84	0.816	0.846	0.856
JVpna-545	0.827	0.027	0.866	0.801	0.876	0.858	0.863	0.809	0.825	0.811	0.84	0.82
JVpna-546	0.81	0.813										
JVpna-547	0.083	0.089	0.12	0.843	0.991	0.933	0.926	0.931	0.923	0.949	0.899	0.943
JVpna-548	0.021	0.019	0.931	0.946	0.954	0.859	0.887	0.917	0.962	0.934	0.989	0.949
JVpna-549	0.261	0.528										
JVpna-550	0.033	0.033	0.053	0.038	0.798	0.836	0.871	0.949	0.767	0.924	0.78	0.917
JVpna-551	0.041	0.033	0.768	0.686	0.836	0.925	0.876	0.87	0.857	0.848	0.836	0.915
JVpna-552	1.018	1.097										
JVpna-553	0.987	0.894										
JVpna-554	0.059	0.065	0.658	0.672	0.812	0.785	0.732	0.924	0.87	0.839	0.856	0.982
JVpna-555	0.021	0.021	0.783	0.722	0.787	0.945	0.785	1.033	0.835	1.007	0.873	1.004
JVpna-556	0.03	0.039	0.017	0.025	0.734	0.757	0.786	0.904	0.845	0.948	0.915	1.005
JVpna-557	0.061	0.061	0.353	0.455	0.904	0.912	0.784	0.912	0.865	0.912	1.014	0.995
JVpna-558	0.018	0.014	0.883	0.85	0.991	0.958	0.979	0.978	0.986	1.001	1.085	1.034
JVpna-559	0.01	0.006	0.763	0.736	0.841	0.824	0.788	0.803	0.921	0.789	0.858	0.878
JVpna-560	0.817	0.861										
JVpna-561	0.851	0.825										
JVpna-562	1.03	0.997										
JVpna-563	0.927	0.901										
JVpna-564	0.031	0.032	0.715	0.635	0.829	0.862	0.824	0.854	0.878	0.899	0.852	0.871
JVpna-565	0.252	0.423										
JVpna-566	0.047	0.041	0.778	0.697	0.852	0.707	0.747	0.701	0.877	0.857	0.758	0.822
JVpna-567	0.882	0.829										
JVpna-568	0.726	0.037	0.838	0.81	0.814	0.895	0.804	0.846	0.922	0.806	0.924	0.88
JVpna-569	0.657	0.907										
JVpna-570	0.947	0.924										
JVpna-571	1.02	0.97										
JVpna-572	0.364	0.021	0.879	0.834	0.925	0.858	0.884	0.933	0.888	0.899	0.914	0.956
JVpna-573	0.021	0.018	0.456	0.599	0.811	0.661	0.82	0.768	0.949	0.888	0.8	0.77
JVpna-574	1.088	1.112										
JVpna-575	1.059	1.042										
JVpna-576	0.475	0.004	0.82	0.885	0.887	0.792	0.875	0.854	0.896	0.914	0.926	0.868
JVpna-577	0.867	0.964										
JVpna-578	0.036	0.032	0.827	0.888	0.902	0.808	0.91	0.967	0.871	0.876	0.891	0.793
JVpna-579	1.004	0.97										
JVpna-580	0.759	0.794										
JVpna-581	0.015	0.016	0.44	0.496	0.726	0.671	0.915	0.774	0.853	0.819	0.875	0.9
JVpna-582	0.819	0.964										
JVpna-583	0.747	0.719										
JVpna-584	0.834	0.824										
JVpna-585	0.174	0.092	0.637	0.669	0.888	0.9	0.927	0.886	0.941	0.91	0.903	0.894
JVpna-586	0.62	0.637										
JVpna-587	0.029	0.038	0.618	0.618	0.852	0.862	1.015	0.853	0.963	0.865	0.843	0.872
JVpna-588	0.03	0.035	0.341	0.359	0.734	0.683	0.841	0.901	0.907	0.873	0.944	0.937
JVpna-227	0.001											
JVpna-228	1.068											
ctrl	0.9585	1.01025	0.95275	0.996	0.95275	0.996	0.95275	0.996	0.95275	0.996	0.95275	0.996
