	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
JVpna-349	1.015	0.991										
JVpna-350	0.832	0.918										
JVpna-351	0.338	0.207										
JVpna-352	0.026	0.008	0.411	0.66	0.82	0.811	0.843	0.914	0.886	0.884	0.976	0.981
JVpna-353	0.006	0.003	0	0	0.732	0.661	0.829	0.81	0.851	0.783	0.876	0.868
JVpna-354	0.943	0.81										
JVpna-355	0.014	0.012	0.961	0.904	0.922	0.864	0.899	0.855	0.893	0.851	0.815	0.816
JVpna-356	0.414	0.054										
JVpna-357	0.045	0.044	0.783	0.642	0.734	0.776	0.893	0.857	0.785	0.891	0.849	0.894
JVpna-358*	0.751	0.768	0.878	0.827	0.81	0.772	0.809	0.87	0.827	0.856	0.837	0.932
JVpna-359*	0.011	0.008	0.004	0.625	0.427	0.692	0.698	0.769	0.878	0.846	0.816	0.938
JVpna-360	0.338	0.047	0.763	0.699	0.756	0.813	0.808	0.781	0.906	0.837	0.795	0.819
JVpna-361	0.008	0.01	0.697	0.241	0.582	0.703	0.692	0.77	0.881	0.833	0.838	0.847
JVpna-362	0.046	0.049	0.708	0.021	0.796	0.916	0.875	0.854	0.878	0.88	0.82	0.871
JVpna-363	0.881	0.743										
JVpna-364	0.015	0.366	0.765	0.852	0.876	0.935	0.989	0.983	0.919	0.928	0.981	0.965
JVpna-365	1.047	0.998										
JVpna-366	0.033	0.747										
JVpna-367	0.018	0.017	0.636	0.615	0.88	0.946	0.936	0.976	0.924	0.98	0.952	1.009
JVpna-368	0.02	0.017	0.015	0.011	0.647	0.837	0.839	0.848	0.893	0.839	0.853	0.886
JVpna-369	0.018	0.017	0.016	0.02	0.701	0.69	0.772	0.889	0.822	0.801	0.874	0.909
JVpna-370	0.013	0.009	0.793	0.721	0.869	0.835	0.916	0.887	0.849	0.805	0.942	0.92
JVpna-371	0.519	0.643										
JVpna-372	0.02	0.012	0.96	0.967	0.879	0.911	0.933	0.886	0.885	0.901	0.944	0.972
JVpna-373*	0.008	0.002	0.263	0.18	0.504	0.536	0.632	0.73	0.758	0.78	0.779	0.944
JVpna-374	0.914	1.057										
JVpna-375	0.029	0.023	0.828	0.815	0.856	0.842	0.918	0.884	0.916	0.92	0.919	0.931
JVpna-376	0.971	0.87										
JVpna-377	0.79	0.03										
JVpna-378	0.723	0.808										
JVpna-379	0.392	0.522										
JVpna-380	0.034	0.029	0.725	0.776	0.968	0.961	0.928	0.984	1.006	0.993	0.999	1.037
JVpna-381	0.041	0.034	0.043	0.816	0.988	0.798	0.874	0.838	0.877	0.838	0.889	0.888
JVpna-382	0.069	0.068	0.768	0.807	0.893	0.877	0.79	0.804	0.906	0.804	0.86	0.899
JVpna-383	0.06	0.053	0.03	0.61	0.921	0.851	0.84	0.916	0.889	0.867	0.915	0.866
JVpna-384	1.038	0.996										
JVpna-385	1.036	1.056										
JVpna-386	1.041	0.984										
JVpna-387	0.111	0.032	0.659	0.516	0.903	0.803	0.845	0.79	0.87	0.799	0.852	0.857
JVpna-388	1.088	1.07										
JVpna-389	1.027	1.027										
JVpna-390	0.009	0.013	0.585	0.615	0.86	0.868	0.872	0.882	0.947	0.819	0.925	0.88
JVpna-391	0.968	0.834										
JVpna-392	0.071	0.064	0.02	0.684	0.79	0.848	0.876	0.976	0.883	0.941	0.939	1.001
JVpna-393*	0.035	0.056	0.903	0.892	0.863	0.79	0.769	0.832	0.763	0.864	0.82	0.936
JVpna-394	0.054	0.062	0.796	0.796	0.916	0.922	0.949	0.751	0.951	0.833	0.933	0.925
JVpna-395	0.977	0.812										
JVpna-396	1.007	0.854										
JVpna-397	0.981	0.976										
JVpna-398	0.024	0.021	0.009	0.008	0.879	0.858	0.99	0.841	0.911	0.849	0.974	0.862
JVpna-399	0.077	0.074	0.856	0.825	0.952	0.978	0.943	0.884	0.911	0.807	0.824	0.808
JVpna-400	0.931	0.884										
JVpna-401	0.911	0.943										
JVpna-402	0.239	0.232										
JVpna-403	0.027	0.021	0.713	0.71	0.817	0.808	0.958	0.974	0.92	0.835	0.922	0.941
JVpna-404	0.948	1.055										
JVpna-405	0.005	0.005	0.617	0.505	0.779	0.808	0.934	0.831	0.921	0.889	0.94	0.919
JVpna-406	0.748	0.585										
JVpna-407*	0.021	0.039	0.747	0.806	0.905	0.885	0.791	0.841	0.736	0.832	0.797	0.907
JVpna-408	0.901	0.993										
JVpna-227		0.001	0.001		0.417		0.708		0.946		1.008	
JVpna-228		1.108		1.069		0.989		0.988		1.01		0.982
ctrl	0.98375	0.972	0.9625	0.98825	0.9625	0.98825	0.9625	0.98825	0.9625	0.98825	0.9625	0.98825
