	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
JVpna-289	0.707	0.723										
JVpna-290	0.845	0.805										
JVpna-291	0.721	0.558										
JVpna-292	0.449	0.034	0.816	0.862	0.932	0.953	0.933	0.9	0.925	0.916	0.925	0.94
JVpna-293	0.019	0.019	0.582	0.543	0.77	0.893	0.885	0.803	0.881	0.833	0.932	0.914
JVpna-294	0.803	0.854										
JVpna-295	0.834	0.838										
JVpna-296	1.014	0.979										
JVpna-297	0.944	0.955										
JVpna-298	1.037	0.897										
JVpna-299	0.018	0.021	0.732	0.694	0.806	0.76	0.85	0.748	0.871	0.758	0.896	0.855
JVpna-300	0.034	0.045	0.029	0.029	0.802	0.671	0.847	0.818	0.849	0.908	0.906	0.875
JVpna-301	0.024	0.024	0.665	0.68	0.876	0.982	0.855	0.829	0.906	0.909	0.905	0.87
JVpna-302	0.717	0.582										
JVpna-303	0.818	0.731										
JVpna-304	0.907	0.959										
JVpna-305	0.877	0.869										
JVpna-306	0.962	1.085										
JVpna-307	0.04	0.034	0.902	0.744	0.842	0.913	0.809	0.776	0.886	0.91	0.901	0.897
JVpna-308	0.858	0.773										
JVpna-309	0.005	0.002	0.585	0.688	0.877	0.974	0.897	0.878	0.973	0.856	0.97	0.9
JVpna-310	0.868	0.779										
JVpna-311	0.674	0.683										
JVpna-312	0.013	0.027	0.694	0.597	0.937	0.95	0.946	0.919	0.955	0.958	0.967	0.947
JVpna-313	0.623	0.003	0.658	0.651	0.769	0.849	0.848	0.953	0.987	1.01	1.067	1.062
JVpna-314	0.015	0.012	0.004	0	0.682	0.823	0.668	0.844	0.901	0.954	0.974	0.954
JVpna-315	0.002	0.001	0.633	0.731	0.731	0.774	0.902	0.866	0.899	0.867	1.028	1.002
JVpna-316	0.019	0.024	0.683	0.691	0.807	0.856	0.936	0.894	0.938	0.959	0.932	0.942
JVpna-317	0.874	0.894										
JVpna-318	0.842	0.752										
JVpna-319	0.013	0.011	0.46	0.476	0.833	0.864	0.926	0.916	0.982	0.955	1.018	1.008
JVpna-320	0.909	0.879										
JVpna-321	0.991	0.892										
JVpna-322	0.026	0.023	0.032	0.022	0.82	0.767	0.847	0.937	0.961	0.892	0.924	0.967
JVpna-323	0.029	0.035	0.037	0.464	0.754	0.789	0.899	0.903	0.956	0.921	0.965	1.032
JVpna-324	0.918	0.899										
JVpna-325	0.026	0.033										
JVpna-326	1.033	1.007										
JVpna-327	0.962	0.98										
JVpna-328	0.025	0.027	0.845	0.821	0.972	0.991	1.005	0.976	0.985	1.002	1.012	1.05
JVpna-329	0.528	0.02	0.71	0.784	0.847	0.863	0.782	0.784	0.918	0.821	0.959	0.873
JVpna-330	0.427	0.885										
JVpna-331	0.698	0.67										
JVpna-332	0.011	0.014	0.807	0.909	0.802	0.907	0.845	0.796	0.871	0.818	0.914	0.776
JVpna-333	0.451	0.008	0.74	0.727	0.829	0.799	0.841	0.816	0.804	0.876	0.922	0.817
JVpna-334	1.047	0.994										
JVpna-335	0.499	0.407										
JVpna-336	0.014	0.747	0.666	0.72	0.856	0.771	0.834	0.753	0.84	0.891	0.956	0.79
JVpna-337	1.082	1.117										
JVpna-338	0.711	0.715										
JVpna-339	0.808	0.742										
JVpna-340	0.684	0.841										
JVpna-341	0.043	0.046	0.691	0.718	0.856	0.825	0.87	0.755	0.81	0.878	0.997	0.892
JVpna-342	0.04	0.042	0.697	0.689	0.816	0.845	0.922	0.885	0.893	0.898	0.974	0.917
JVpna-343	0.016	0.019	0.104	0.012	0.899	0.88	0.987	0.854	1.032	0.908	1.001	0.918
JVpna-344	1.126	1.087										
JVpna-345	0.612	0.009	0.615	0.565	0.807	0.797	0.951	0.944	1.015	0.927	1.03	1.011
JVpna-346	1.098	1.045										
JVpna-347	1.017	0.94										
JVpna-348	1.027	0.946										
JVpna-227	0.001		0.001		0.379		0.85		0.936		0.998	
JVpna-228	1.057		1.016		0.988		0.95		0.993		0.991	
ctrl	0.977	0.98925	1.04	1.03025	1.04	1.03025	1.04	1.03025	1.04	1.03025	1.04	1.03025
